activationTime,firstBillNumber,lastBillNumber,taxableBase,totalWithDiscount,discountsTotal,total,tip,tax 10%,tax 21%,card,cash,delitbee,gloriafood,glovo,justeat,shop,uber
16/06/2024,LI46,LS9107,"793,29","1.176,00","303,40","872,60","0,00","79,31",,"315,15","49,55",,"56,80","161,30","130,40",,"159,40"
19/06/2024,LS9109,LS9122,"347,62","485,50","102,80","382,70","1,70","34,47","0,61","92,00","131,70",,"67,30","62,60",,,"30,80"
20/06/2024,LS9123,LS9137,"443,84","580,90","92,37","488,53","0,00","44,08","0,61","207,03",,,"24,50","53,60","97,50",,"105,90"
21/06/2024,LS9138,LS9170,"815,55","991,89","93,40","898,49","0,00","80,32","2,62","554,00","81,50",,"66,40","87,59","42,20",,"66,80"
22/06/2024,LI47,LS9206,"826,02","1.137,00","227,40","909,60","0,00","81,64","1,94","549,60","23,40",,,"144,50","36,80",,"155,30"
23/06/2024,LS9207,LS9235,"802,91","987,30","104,09","883,21","0,00","80,30",,"587,91","59,80",,"106,50","40,70","61,50",,"26,80"
27/06/2024,LI48,LS9256,"788,24","1.105,30","238,27","867,03","0,00","78,79",,"519,58","107,40",,"116,55","20,50","30,50",,"72,50"
28/06/2024,LS9257,LS9288,"724,25","978,80","181,80","797,00","0,00","72,14","0,61","205,60","86,70",,"157,50","206,00","28,50","30,10","82,60"
29/06/2024,LS9289,LS9306,"459,23","551,30","45,90","505,40","0,00","45,68","0,49","256,60","14,70",,"99,30",,"39,00",,"95,80"
30/06/2024,LS9307,LS9342,"837,94","1.063,99","142,00","921,99","0,00","83,56","0,49","119,80","79,50",,"182,60","173,79","69,00",,"297,30"
04/07/2024,LS9343,LS9353,"234,26","296,10","38,40","257,70","0,00","23,44",,"101,40",,,"50,80","28,00",,,"77,50"
05/07/2024,LS9354,LS9381,"726,83","839,80","40,30","799,50","0,40","72,67",,"295,10","232,70",,"99,00","54,30",,,"118,80"
06/07/2024,LS9382,LS9404,"622,93","825,10","139,35","685,75","2,80","61,84","0,98","215,70","112,70",,"176,85","23,50","30,50",,"129,30"
07/07/2024,LS9405,LS9430,"559,63","648,59","33,00","615,59","2,41","55,96",,"218,40","81,30",,"15,40","131,99",,"53,11","117,80"
10/07/2024,LS9431,LS9441,"231,01","299,60","44,98","254,62","0,00","22,64","0,97","49,72","48,80",,"89,00","18,40",,,"48,70"
11/07/2024,LS9442,LS9455,"414,27","483,70","28,00","455,70","1,50","41,43",,"189,50","35,10",,"115,40",,,"30,10","87,10"
12/07/2024,LS9456,LS9484,"760,40","921,70","84,70","837,00","0,00","75,51","1,09","472,60","138,80",,"47,40","46,40",,,"131,80"
13/07/2024,LS9485,LS9499,"339,95","459,10","84,60","374,50","0,00","33,51","1,04","144,90","46,40",,"59,50","48,90",,,"74,80"
14/07/2024,LS9500,LS9519,"526,45","667,79","88,70","579,09","0,00","52,64",,"111,90","56,80",,"111,40","37,40","93,90",,"167,69"
17/07/2024,LS9520,LS9530,"285,44","348,10","33,80","314,30","0,00","28,25","0,61","124,00","47,80",,,"94,80",,,"47,70"
18/07/2024,LS9531,LS9549,"433,26","549,60","73,00","476,60","0,00","43,34",,"212,70","41,90",,"88,00","74,20",,,"59,80"
19/07/2024,LS9550,LS9577,"650,85","817,40","101,20","716,20","0,00","64,86","0,49","268,20","48,50",,"201,30","41,30","49,40",,"107,50"
20/07/2024,LS9578,LS9598,"414,20","542,99","87,35","455,64","0,00","41,44",,"134,90","10,90",,"92,05","40,99",,,"176,80"
21/07/2024,LS9599,LS9614,"233,28","382,79","126,20","256,59","0,00","23,31",,"48,50","36,80",,"14,90","60,69",,,"95,70"
24/07/2024,LS9615,LS9626,"242,21","332,19","64,60","267,59","0,00","23,21","2,17","153,10","15,40",,,"51,39",,,"47,70"
25/07/2024,LI49,LS9645,"421,55","545,90","82,21","463,69","0,00","42,14",,"216,99","24,00",,"170,00","32,80",,,"19,90"
26/07/2024,LS9646,LS9665,"414,17","525,99","70,40","455,59","0,00","41,42",,"86,90","95,70",,,"80,29",,"30,60","162,10"
27/07/2024,LS9666,LS9680,"400,03","484,39","44,36","440,03","0,00","40,00",,"118,50","196,50",,"52,60","16,32",,,"56,11"
28/07/2024,LS9681,LS9694,"302,12","398,70","66,38","332,32","0,00","30,20",,"105,70","6,50",,"15,40","88,74","30,50",,"85,48"
31/07/2024,LS9695,LS9711,"377,45","452,70","36,96","415,74","0,00","37,20","1,09","160,20","40,20",,"44,40","50,82","80,40",,"39,72"
01/08/2024,LS9712,LS9731,"483,74","580,50","48,38","532,12","0,00","48,38",,"127,00","95,70",,"108,50","31,16","81,40",,"88,36"
02/08/2024,LS9732,LS9748,"355,75","431,30","39,66","391,64","3,80","35,28","0,61","138,00","53,80",,"24,00","29,00","73,20","19,20","58,24"
03/08/2024,LI50,LS9760,"248,15","294,79","21,85","272,94","1,90","24,79",,"68,30","8,90",,"50,80","70,44","36,50",,"39,90"
04/08/2024,LS9761,LS9784,"532,16","767,60","182,24","585,36","0,00","53,20",,"136,90","58,40",,"26,50","112,94",,"51,70","198,92"
05/08/2024,LS9785,LS9791,"134,30","206,70","58,98","147,72","0,00","13,42",,,,,,"119,92",,,"27,80"
06/08/2024,LI51,LS9797,"150,20","212,10","46,88","165,22","0,50","15,02",,"75,10",,,,"62,62",,,"28,00"
07/08/2024,LS9798,LS9812,"355,38","465,30","74,37","390,93","1,10","35,55",,"166,10","84,50",,"57,30","54,51",,,"29,62"
08/08/2024,LI52,LS9820,"291,91","342,50","21,40","321,10","2,40","29,19",,"175,80","51,00",,,"16,90","34,50","45,30",
09/08/2024,LS9821,LS9842,"427,58","581,90","110,79","471,11","0,00","42,07","1,46","114,30",,,"48,80","77,75","72,40","54,40","103,46"
10/08/2024,LS9843,LS9861,"320,01","455,50","103,02","352,48","0,00","31,50","0,97","114,20","18,80",,"25,50","66,20","23,00",,"104,78"
11/08/2024,LI53,LS9876,"337,16","450,89","80,02","370,87","0,00","33,71",,"126,00","29,60",,"82,10","35,42","31,50",,"66,25"
12/08/2024,LS9877,LS9886,"180,75","281,79","82,98","198,81","0,00","18,06",,"46,70",,,,"32,30","34,80",,"85,01"
13/08/2024,LS9887,LS9893,"138,56","180,20","27,80","152,40","0,00","13,84",,,"9,90",,,"82,70","45,90",,"13,90"
14/08/2024,LS9894,LS9912,"419,12","606,69","144,98","461,71","0,00","41,28","1,31","134,85","68,15",,"47,30","15,90",,,"195,51"
15/08/2024,LS9913,LS9932,"372,34","477,40","67,82","409,58","0,00","37,24",,"130,40","62,10",,"51,20","54,36","34,50",,"77,02"
16/08/2024,LS9927,LS9951,"374,95","556,99","143,61","413,38","0,00","36,64","1,79","72,20","9,90",,,"125,38","49,90",,"156,00"
17/08/2024,LI54,LS9969,"438,04","595,70","113,90","481,80","0,00","43,76",,"100,12","59,30",,"56,30","46,20","88,70",,"131,18"
18/08/2024,LI55,LS9993,"528,37","737,60","156,42","581,18","0,00","52,81",,"76,30","22,80",,"81,10","158,26","103,90",,"138,82"
19/08/2024,LS9994,LS10005,"209,36","345,29","114,80","230,49","0,00","20,73","0,40",,,,,"38,54","60,40",,"131,55"
20/08/2024,LS10006,LS10010,"94,90","150,30","44,02","106,28","0,00","7,77","3,61","15,40",,,,"60,46",,,"30,42"
21/08/2024,LS10011,LS10022,"318,91","431,10","80,32","350,78","0,00","31,87",,,,,"22,80","79,60","81,90",,"166,48"
22/08/2024,LS10023,LS10038,"453,27","576,90","78,32","498,58","0,00","45,31",,"141,70",,,"127,10","41,70","96,50",,"91,58"
23/08/2024,LS10039,LS10056,"399,21","530,00","90,68","439,32","0,00","39,71","0,40","179,80","20,10",,"72,64","58,40",,,"108,38"
24/08/2024,LS10057,LS10072,"350,69","456,10","70,34","385,76","0,00","35,07",,"138,50","68,90",,"48,10","39,86",,,"90,40"
25/08/2024,LI56,LS10094,"441,56","648,88","163,18","485,70","0,00","44,14",,"146,80",,,,"138,21",,,"200,69"
26/08/2024,LS10095,LS10104,"236,36","304,50","44,16","260,34","0,00","23,29","0,69","55,90",,,"19,50","69,42","82,30",,"33,22"
27/08/2024,LS10106,LS10112,"178,32","224,30","27,55","196,75","0,00","17,33","1,10","112,70",,,"11,90","48,31",,,"23,84"
28/08/2024,LI57,LS10130,"323,98","465,29","108,92","356,37","0,00","32,39",,"107,10","21,00",,"54,00","98,02",,,"76,25"
29/08/2024,LS10131,LS10150,"390,05","520,60","91,26","429,34","0,00","38,80","0,49","213,20","35,50",,"42,40","89,34","32,00",,"16,90"
30/08/2024,LS10151,LS10176,"719,81","895,69","103,66","792,03","0,00","71,73","0,49","414,00","10,00",,"77,30","51,72","36,30","23,00","179,71"
31/08/2024,LS10177,LS10198,"494,20","615,99","72,38","543,61","0,00","49,41",,"238,80","83,30",,"20,50","81,50","69,60",,"49,91"
